i,counter
0,224
1,372
2,372
3,372
4,372
5,372
6,372
7,372
8,372
9,372
10,209
11,372
12,343
13,593
14,593
15,593
16,593
17,593
18,593
19,593
20,593
21,593
22,372
23,343
24,593
25,593
26,593
27,593
28,593
29,593
30,593
31,593
32,593
33,372
34,343
35,593
36,593
37,593
38,593
39,593
40,593
41,593
42,593
43,593
44,372
45,343
46,593
47,593
48,593
49,593
50,593
51,593
52,593
53,593
54,372
55,343
56,593
57,593
58,593
59,593
60,593
61,593
62,593
63,593
64,593
65,372
66,343
67,593
68,593
69,593
70,593
71,593
72,593
73,593
74,593
75,593
76,372
77,343
78,593
79,593
80,593
81,593
82,593
83,593
84,593
85,593
86,593
87,30
88,30
