i,x,y
0,6.580357,6.580357
1,64.000000,4.970430
2,128.000000,4.970430
3,192.000000,4.970430
4,256.000000,4.970430
5,320.000000,4.970430
6,384.000000,4.970430
7,448.000000,4.970430
8,512.000000,4.970430
9,576.000000,4.970430
10,632.832520,6.535885
11,4.970430,64.000000
12,634.469360,64.000000
13,64.000000,64.000000
14,128.000000,64.000000
15,192.000000,64.000000
16,256.000000,64.000000
17,320.000000,64.000000
18,384.000000,64.000000
19,448.000000,64.000000
20,512.000000,64.000000
21,576.000000,64.000000
22,4.970430,128.000000
23,634.469360,128.000000
24,64.000000,128.000000
25,128.000000,128.000000
26,192.000000,128.000000
27,320.000000,128.000000
28,384.000000,128.000000
29,448.000000,128.000000
30,512.000000,128.000000
31,576.000000,128.000000
32,4.970430,192.000000
33,634.469360,192.000000
34,64.000000,192.000000
35,128.000000,192.000000
36,192.000000,192.000000
37,256.000000,192.000000
38,320.000000,192.000000
39,384.000000,192.000000
40,448.000000,192.000000
41,512.000000,192.000000
42,576.000000,192.000000
43,4.970430,256.000000
44,634.469360,256.000000
45,64.000000,256.000000
46,128.000000,256.000000
47,192.000000,256.000000
48,256.000000,256.000000
49,320.000000,256.000000
50,384.000000,256.000000
51,448.000000,256.000000
52,512.000000,256.000000
53,576.000000,256.000000
54,4.970430,320.000000
55,634.469360,320.000000
56,64.000000,320.000000
57,128.000000,320.000000
58,192.000000,320.000000
59,256.000000,320.000000
60,320.000000,320.000000
61,384.000000,320.000000
62,448.000000,320.000000
63,512.000000,320.000000
64,576.000000,320.000000
65,4.970430,384.000000
66,634.469360,384.000000
67,64.000000,384.000000
68,128.000000,384.000000
69,192.000000,384.000000
70,256.000000,384.000000
71,320.000000,384.000000
72,384.000000,384.000000
73,448.000000,384.000000
74,512.000000,384.000000
75,576.000000,384.000000
76,4.970430,448.000000
77,634.469360,448.000000
78,64.000000,448.000000
79,128.000000,448.000000
80,192.000000,448.000000
81,256.000000,448.000000
82,320.000000,448.000000
83,384.000000,448.000000
84,448.000000,448.000000
85,512.000000,448.000000
86,576.000000,448.000000
87,2.100000,476.899994
88,636.900024,476.899994
